"data","regiao","casos"
"2020-08-26","Interior","494"
"2020-08-27","Interior","450"
"2020-08-28","Interior","429"
"2020-08-29","Interior","763"
"2020-08-30","Interior","149"
"2020-08-31","Interior","188"
"2020-09-01","Interior","379"
"2020-09-02","Interior","431"
"2020-09-03","Interior","453"
"2020-09-04","Interior","402"
"2020-09-05","Interior","268"
"2020-09-06","Interior","47"
"2020-09-07","Interior","72"
"2020-09-08","Interior","253"
"2020-09-09","Interior","406"
"2020-09-10","Interior","390"
"2020-09-11","Interior","451"
"2020-09-12","Interior","210"
"2020-09-13","Interior","124"
"2020-09-14","Interior","210"
"2020-09-15","Interior","295"
"2020-09-16","Interior","374"
"2020-09-17","Interior","282"
"2020-09-18","Interior","351"
"2020-09-19","Interior","841"
"2020-09-20","Interior","109"
"2020-09-21","Interior","123"
"2020-09-22","Interior","389"
"2020-09-23","Interior","314"
"2020-09-24","Interior","512"
"2020-09-25","Interior","432"
"2020-09-26","Interior","304"
"2020-09-27","Interior","185"
"2020-09-28","Interior","235"
"2020-09-29","Interior","410"
"2020-09-30","Interior","599"
